
COMMUNITY NUMBER,COMMUNITY NAME,CRS ENTRY DATE,CURRENT EFFECTIVE DATE,CURRENT CLASS,% DISCOUNT FOR SFHA,% DISCOUNT FOR NON-SFHA,STATUS
340355,"Parsippany-Troy Hills, Township of",10/1/91,05/1/09,10,0,0 R
340512,"Pennsville, Township of",10/1/16,10/1/16,8,10,5,C
345311,"Pequannock, Township of",10/1/91,10/1/16,5,25,10,C
345312,"Plainfield, City of",10/1/91,10/1/98,10,0,0 R
340015,"Pleasantville, City of",10/1/14,10/1/14,7,15,5,C
345313,"Point Pleasant, Borough of",10/1/93,10/1/15,7,15,5,C
340388,"Point Pleasant Beach, Borough of",10/1/92,10/1/15,6,20,10,C
345528,"Pompton Lakes, Borough of",10/1/91,05/1/13,5,25,10,C
345314,"Rahway, City of",10/1/92,05/1/13,6,20,10,C
340067,"Ridgewood, Village of",10/1/92,10/1/02,7,15,5,C
340359,"Riverdale, Borough of",10/1/94,05/1/14,8,10,5,C
340070,"Rochelle Park, Township of",10/1/06,10/1/06,8,10,5,C
340472,"Roselle, Borough of",10/1/92,05/1/13,7,15,5,C
340473,"Roselle Park, Borough of",10/1/15,10/1/15,8,10,5,C
340474,"Scotch Plains, Township of",10/1/94,10/1/95,10,0,0 R
345317,"Sea Bright, Borough of",10/1/92,10/1/97,10,0,0 R
345318,"Sea Isle City, City of",10/1/92,10/1/13,5,25,10,C
345319,"Seaside Park, Borough of",10/1/92,10/1/06,8,10,5,C
345320,"Ship Bottom, Borough of",10/1/92,05/1/09,7,15,5,C
340280,"South River, Borough of",10/1/14,10/1/14,6,20,10,C
340329,"Spring Lake, Borough of",10/1/94,05/1/14,6,20,10,C
340393,"Stafford, Township of",10/1/91,10/1/13,5,25,10,C
345323,"Stone Harbor, Borough of",10/1/94,05/1/14,5,25,10,C
345324,"Surf City, Borough of",10/1/92,05/1/14,5,25,10,C
345293,"Toms River, Township of",10/1/92,05/1/13,8,10,5,C
340395,"Tuckerton, Borough of",10/1/93,10/1/98,10,0,0 R
340331,"Union Beach, Borough of",10/1/03,10/1/16,6,20,10,C
340159,"Upper, Township of",10/1/11,10/1/13,6,20,10,C
345326,"Ventnor, City of",10/1/92,05/1/16,6,20,10,C
340446,"Warren, Township of",05/1/10,05/1/15,8,10,5,C
345327,"Wayne, Township of",10/1/91,05/1/15,7,15,5,C
345328,"West Wildwood, Borough of",10/1/93,10/1/05,10,0,0 R
340081,"Westwood, Borough of",10/1/16,10/1/16,8,10,5,C
345329,"Wildwood, City of",05/1/16,05/1/16,6,20,10,C
345330,"Wildwood Crest, Borough of",10/1/93,05/1/14,6,20,10,C
345331,"Woodbridge, Township of",10/1/92,10/1/97,10,0,0 R
340412,"Woodland Park, Borough of",10/1/16,10/1/16,8,10,5,C
